zpid,description_length,waterfront_linear_ft,dock_linear_ft,no_fixed_bridges,waterfront_type,any_length
102751852,,,,FALSE,intracoastal; ocean; river,
102956453,,,,FALSE,,
103011314,,,,FALSE,,
103012767,,,,FALSE,ocean,
103014903,80 Feet,,,FALSE,ocean; river; canal; waterfront,
103015557,,,,FALSE,,
103018760,,,,FALSE,,
103021833,,,,FALSE,,
103022783,lot has 63 ft of waterfront,63,,TRUE,ocean; river; canal; sound; waterfront,63
103024229,,,,FALSE,,
103028843,Frontage: 98,98,,FALSE,ocean; waterfront,98
103031419,,,,FALSE,intracoastal; ocean; sound; waterfront,
103032447,135 Ft Seawall,135,,TRUE,intracoastal; ocean; canal; waterfront,135
103033753,up to 28Ft approximately 1,28,,FALSE,ocean; canal,28
103034022,Rare 25’,,,FALSE,,
103034428,property offering 140 feet of private,,,TRUE,ocean; waterfront,
103457336,no fixed bridges,,,TRUE,intracoastal; ocean,
103457942,property showcases 140 ft of direct,,,FALSE,intracoastal; waterfront,
103458034,,,,FALSE,intracoastal; lake,
103467710,,,,FALSE,ocean,
103469090,,,,FALSE,intracoastal,
103474037,,,,FALSE,intracoastal; ocean; waterfront,
103476378,,,,FALSE,waterfront,
103482573,up to 40 ft and 20,40,,FALSE,bay; river; waterfront,40
103558220,offering 100ft of pristine,,,FALSE,intracoastal; ocean; sound,
104163670,Dock Length: 150,,150,FALSE,bay; gulf; waterfront,150
104165524,,,,FALSE,ocean; lake; waterfront,
104166750,,,,FALSE,lake; waterfront,
104168728,Dock Length: 20,,20,FALSE,bay; gulf; waterfront,20
104170134,,,,FALSE,canal; waterfront,
104170273,,,,FALSE,bay; ocean; canal; waterfront,
104171009,,,,FALSE,waterfront,
104171128,Dock Length: 30,,30,FALSE,canal; waterfront,30
104171370,Dock Length: 70,,70,FALSE,ocean; waterfront,70
104172523,Bath with 60' Dock and Pool,,60,FALSE,ocean; canal; sound; waterfront,60
104175085,Dock Length: 100,,100,FALSE,canal; waterfront,100
104175745,,,,FALSE,bay; ocean; canal; waterfront,
104177712,Dock Length: 60,,60,FALSE,bay; ocean; canal; waterfront,60
104179454,,,,FALSE,ocean; waterfront,
104186370,Dock Length: 98,,98,FALSE,ocean; canal; gulf; waterfront,98
104186736,Dock Length: 85,,85,FALSE,ocean; canal; gulf; waterfront,85
104187628,,,,FALSE,canal; waterfront,
104189444,Dock Length: 69,,69,FALSE,ocean; canal; waterfront,69
104189953,to your 50 foot dock nestled,,50,FALSE,bay; ocean; canal; waterfront,50
104190657,Dock Length: 67,,67,FALSE,bay; ocean; canal; waterfront,67
104191128,,,,FALSE,canal; waterfront,
104192123,,,,FALSE,bay; ocean; gulf; waterfront,
104192781,,,,FALSE,bay; ocean; waterfront,
104196827,Dock Length: 70,,70,FALSE,canal; gulf; waterfront,70
104198543,Dock Length: 50,,50,FALSE,ocean; waterfront,50
104198618,,,,FALSE,canal; waterfront,
104203451,,,,FALSE,bay; ocean; canal; waterfront,
104204186,Dock Length: 75,,75,FALSE,bay; ocean; canal; waterfront,75
104204951,lot offers 54 feet of water,,,FALSE,bay; waterfront,
104205672,85 feet of seawall,85,85,FALSE,canal; waterfront,85
104206376,,,,FALSE,canal; lake; sound; waterfront,
104212922,Dock Length: 75,,75,FALSE,ocean; canal; gulf; waterfront,75
104214293,Dock Length: 75,,75,FALSE,canal; waterfront,75
110557100,,,,FALSE,intracoastal; ocean,
110557185,,,,FALSE,ocean,
110557462,,,,FALSE,ocean,
110557511,,,,FALSE,,
110557541,120 FEET OF NO,,,TRUE,ocean,
110557820,,,,FALSE,ocean,
110557897,,,,FALSE,ocean; waterfront,
110558037,,,,FALSE,intracoastal; ocean,
110558266,,,,FALSE,intracoastal; ocean; waterfront,
110558449,,,,FALSE,,
110558777,,,,FALSE,intracoastal; ocean,
110559119,,,,FALSE,intracoastal; ocean,
110559350,,,,FALSE,ocean,
110559623,,,,FALSE,intracoastal; ocean,
110559946,,,,FALSE,intracoastal; bay; ocean,
110560050,,,,FALSE,intracoastal; ocean,
110560385,,,,FALSE,ocean,
110560390,,,,FALSE,river,
110560394,,,,FALSE,intracoastal; ocean,
110560536,,,,FALSE,ocean,
110560594,,,,FALSE,ocean,
111100517,a private 140',,,FALSE,bay; waterfront,
112793339,,,,FALSE,river,
117907173,,,,FALSE,,
118271525,,,,FALSE,,
118271986,,,,FALSE,bay,
118272917,,,,FALSE,,
118309696,Dock Length: 20,24,20,FALSE,waterfront,20
118312110,Elevated 17 feet above sea,,,FALSE,ocean,
121051077,,,,FALSE,ocean; waterfront,
121053126,,,,FALSE,ocean; waterfront,
121340455,an impressive 270 feet of water,,,TRUE,intracoastal; ocean; waterfront,
122018872,100 ft of water,,,TRUE,bay; ocean; waterfront,
123458369,,,,FALSE,ocean,
123459332,,,,FALSE,intracoastal; ocean; river; waterfront,
123459426,,,,FALSE,intracoastal; ocean; river; waterfront,
123459601,,,,FALSE,ocean; river; waterfront,
123468342,,,,FALSE,,
123470894,Protected 30'  dock on the,,30,FALSE,bay; ocean; canal; waterfront,30
123973364,to a 50 foot boat to,,,FALSE,intracoastal; bay; waterfront,
124115620,,,,FALSE,intracoastal; ocean,
124172934,,,,FALSE,,
124172941,,,,FALSE,ocean; sound; waterfront,
124172946,,,,FALSE,ocean,
124172954,,,,FALSE,intracoastal; ocean,
124172965,,,,FALSE,,
124173100,,,,FALSE,ocean,
124173108,,,,FALSE,intracoastal; ocean,
124173164,,,,FALSE,ocean,
124173184,,,,FALSE,,
124173205,,,,FALSE,intracoastal; ocean; canal,
